来源*,Species,Ploidy,Filename,annotation_file,Accession name,Order,Family,Clade,APG IV,Chromosome-level,Publish year,Publication,PMID/DOI,Estimated genome size (Mb),Assembled genomesize(Mb),Predicted gene number,Scaffold N50 size (Kb),Contig N50 size(Kb),Sequencing platform,Sequencing platform classification,Country/institution,HiC for scaffoldng,Software of contig assembly,Software of polishing,Software of scaffloding,Software of  HiC scaffoldng,T2T/Pan-genome,Genome links,Annotation links,NA
统计条目,Avena longiglumis,diploid,Avena longiglumis.genome.v.1.0.fasta,ALO.rename.gff,PI 657387,Poales,Poaceae,Commelinids,Monocots,yes,2023/12/8,BMC Plant Biology,10.1186/s12870-023-04644-7,3965.67,3960.76857,40845,527343.613,12682.464,ONT;Illumina,Other TGS,China,yes,NA,NA,NA,NA,NA,https://figshare.com/articles/dataset/Genome_assembly_of_the_diploid_oat_Avena_longiglumis_reveals_the_landscape_of_repetitive_sequences_genes_and_chromosome_evolution_in_grasses/19130429/2,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
补充条目,Avena magna,NA,GCA_947310255.1_Asativa_cv_Amagalon_v1.0_genomic.fna.gz,Avena_magna\Avena_magna_GCA_947310255.1_Asativa_cv_Amagalon_v1.0_genomic.gtf,Asativa_cv_Amagalon_v1.0,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/13,NA,GCA_947310255.1,NA,11436.98707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/947/310/Avena_magna_monocots_Asativa_cv_Amagalon_v1.0_GCA_947310255.1/GCA_947310255.1_Asativa_cv_Amagalon_v1.0_genomic.fna.gz,NA,
统计条目,Avena maroccana,tetraploid,GCA_051175335.1_ASM5117533v1_genomic.fna.gz,Avena_maroccana\Avena_maroccana_GCA_051175335.1_ASM5117533v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,7740,96131,NA,113310,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Avena murphyi,tetraploid,GCA_051175585.1_ASM5117558v1_genomic.fna.gz,Avena_murphyi\Avena_murphyi_GCA_051175585.1_ASM5117558v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,7830,96971,NA,131390,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Avena nuda,diploid,GCA_051175495.1_ASM5117549v1_genomic.fna.gz,Avena_nuda\Avena_nuda_GCA_051175495.1_ASM5117549v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3570,47342,NA,201420,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Avena occidentalis,hexaploid,GCA_051171225.1_ASM5117122v1_genomic.fna.gz,Avena_occidentalis\Avena_occidentalis_GCA_051171225.1_ASM5117122v1_genomic.gtf,W0039,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,10940,132046,NA,12000,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Avena sativa,hexaploid,GWHGDJH00000000.1.genome.fasta.gz,Avena_sativa\Avena_sativa_GCA_951802355.1_Asativa_cv_Legett_v1.0_genomic.gtf,C0191,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,10940,131823,NA,429520,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Avena sterilis,hexaploid,GWHERDU00000000.genome.fasta.gz,Avena_sterilis\Avena_sterilis_GCA_947313225.1_Asterilis_TN1_v1.0_genomic.gtf,W038,Poales,Poaceae,Commelinids,Monocots,yes,2024/12/3,Nature Plants,10.1038/s41477-024-01866-x,NA,10990,133364,440980,NA,PacBio;Illumina;ONT,HiFi;NGS;ONT ultra long,China,yes,Hifiasm,Racon,NA,3D-DNA;Juicer,T2T,https://ngdc.cncb.ac.cn/gwh/search/advanced/result?search_category=&search_term=&source=0&query_box=PRJCA023350,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
补充条目,Avena vaviloviana,NA,GCA_051171275.1_ASM5117127v1_genomic.fna.gz,Avena_vaviloviana\Avena_vaviloviana_GCA_051171275.1_ASM5117127v1_genomic.gtf,ASM5117127v1,Poales,Poaceae,Commelinids,Monocots,yes,2025/7/2,NA,GCA_051171275.1,NA,6848.497583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/051/171/Avena_vaviloviana_monocots_ASM5117127v1_GCA_051171275.1/GCA_051171275.1_ASM5117127v1_genomic.fna.gz,NA,
统计条目,Bambusa odashimae,NA,phased.genome.fasta,PRODUCTION_49_result.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/9/4,Horticulture Research,10.1093/hr/uhae250,3640,3360,141732,14810,NA,ONT;Illumina,ONT,China,yes,NextDenovo,Nextpolish,NA,LACHESIS,no,https://www.scidb.cn/detail?dataSetId=db1e2b4229b346a3bb5e56885b77f7ce,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Bambusa oldhamii,hexaploid,GCA_052818405.1_ZAAS_BaOldh_V1_genomic.fna.gz,Bambusa_oldhamii\Bambusa_oldhamii_GCA_052818405.1_ZAAS_BaOldh_V1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/11/3,BMC Plant Biology,10.1186/s12870-025-07529-z,NA,1446,88140,38936,NA,PacBio,HiFi,China,yes,NA,NA,Juicer;3D-DNA,Juicer;3D-DNA,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_052818405.1/,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,
统计条目,Bambusa tulda,hexaploid,GCF_964195595.1_bCalBor7.hap1.2_genomic.fna.gz,GCF_964195595.1_bCalBor7.hap1.2_genomic.gff.gz,haplotype,Poales,Poaceae,Commelinids,Monocots,no,2026/2/4,Scientific Data,10.1038/s41597-026-06679-5,1170,1370,56890,NA,35690,PacBio;Illumina,HiFi,India,no,PacBio;Illumian,HiFi,NA,Hifiasm,no,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/195/595/GCF_964195595.1_bCalBor7.hap1.2/GCF_964195595.1_bCalBor7.hap1.2_genomic.fna.gz,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/195/595/GCF_964195595.1_bCalBor7.hap1.2/GCF_964195595.1_bCalBor7.hap1.2_genomic.gff.gz,
补充条目,Beckmannia syzigachne,NA,GWHERLE00000000.genome.fasta.gz,Beckmannia_syzigachne\Beckmannia_syzigachne_GCA_040954875.1_ASM4095487v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/20,NA,GWHERLE00000000,NA,2786.5776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/gwh/Plants/Beckmannia_syzigachne_BSv1_GWHERLE00000000/GWHERLE00000000.genome.fasta.gz,NA,
统计条目,Bonia amplexicaulis,hexaploid,Bonia_amplexicaulis.faa,Bonia_amplexicaulis_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid67920.gff,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/15,"Ma et al., Genome assemblies of 11 bamboo species highlight diversification induced by dynamic subgenome dominance. Nature Genetics. 2024",10.1038/s41588-024-01683-0,870,850.46,47213,22770.75,2704.26,ONT,ONT,China,yes,CANU;SMARTdenovo;NextDenovo,Racon;Nextpolish;Pilon,LACHESIS,BWA;HiC-Pro;LACHESIS,pan-genome,JAYEVK000000000,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Bothriochloa decipiens,NA,GCA_023333625.1_ASM2333362v1_genomic.fna.gz,Bothriochloa_decipiens\Bothriochloa_decipiens_GCA_023333625.1_ASM2333362v1_genomic.gtf,COB1-7,Poales,Poaceae,Commelinids,Monocots,yes,2023/5/12,GigaScience,10.1093/gigascience/giad034,1250,1218.22,60652,53950,80.2,Illumina,NGS,Australia,yes,Supernova,NA,HiRise,HiRise,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_023333625.1/,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Brachypodium distachyon,diploid,GWHDUCY00000000.genome.fasta.gz,Brachypodium_distachyon\Brachypodium_distachyon_GCA_000005505.4_Brachypodium_distachyon_v3.0_genomic.gtf,Bd21,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/4,Genome biology,10.1186/s13059-024-03206-w,NA,19700,34305,60349.883,60300,PacBio;BGI;Illumina,HiFi;NGS;other TGS,China,yes,Hifiasm,NA,3D-DNA,3D-DNA;Juicer,T2T,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68114/ show,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Brachypodium hybridum,allotetraploid,GWHDUCW00000000.genome.fasta.gz,Brachypodium_hybridum\Brachypodium_hybridum_GCA_036872515.1_ASM3687251v1_genomic.gtf,IBd483,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/4,Genome biology,10.1186/s13059-024-03206-w,NA,39600,69991,32250.776,29700,PacBio;BGI;Illumina,HiFi;NGS;other TGS,China,yes,Hifiasm,NA,3D-DNA,3D-DNA;Juicer,T2T,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68114/ show,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Brachypodium stacei,diploid,GWHDUCX00000000.genome.fasta.gz,Bstacei_316_v1.1.gene_exons.gff3.gz,Bst99,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/4,Genome biology,10.1186/s13059-024-03206-w,NA,19400,29801,26108.307,22900,PacBio;BGI;Illumina,HiFi;NGS;other TGS,China,yes,Hifiasm,NA,3D-DNA,3D-DNA;Juicer,T2T,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68114/ show,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Brachypodium sylvaticum,diploid,Bsylvaticum_490_v1.0.fa.gz,Brachypodium_sylvaticum\Brachypodium_sylvaticum_GCA_040967415.1_ASM4096741v1_genomic.gtf,Ain1,Poales,Poaceae,Commelinids,Monocots,yes,2023/10/26,G3-Genes Genomes Genetics,10.1093/g3journal/jkad245,360,358.28,36927,5000,844,PacBio;Illumina,Other TGS,USA,no,Falcon,Quiver,NA,NA,no,https://phytozome-next.jgi.doe.gov/info/Bsylvaticum_v1_1,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Bromus sterilis,diploid,GCA_950022295.1_lpBroSter1.1_genomic.fna.gz,Bromus_sterilis\Bromus_sterilis_GCA_950022295.1_lpBroSter1.1_genomic.gtf,KDTOL10166,Poales,Poaceae,Commelinids,Monocots,yes,2024/9/18,Wellcome Open Research,10.12688/wellcomeopenres.22994.2,3120,2677.9,29147,379500,338400,PacBio,HiFi,UK,yes,Hifiasm,NA,NA,BWA;YAHS,no,https://identifiers.org/ena.embl/PRJEB60321,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
补充条目,Bromus tectorum,NA,GCA_042919945.1_lpBroTect1.o.p_genomic.fna.gz,Bromus_tectorum\Bromus_tectorum_GCA_042919945.1_lpBroTect1.o.p_genomic.gtf,lpBroTect1.o.p,Poales,Poaceae,Commelinids,Monocots,no,2024/10/15,NA,GCA_042919945.1,NA,2188.57379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/042/919/Bromus_tectorum_monocots_lpBroTect1.o.p_GCA_042919945.1/GCA_042919945.1_lpBroTect1.o.p_genomic.fna.gz,NA,
补充条目,Campeiostachys kamoji,NA,GWHFLAD00000000.1.genome.fasta.gz,GWHFLAD00000000.1.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/2/13,NA,GWHFLAD00000000.1,NA,11136.9405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/gwh/Plants/Campeiostachys_kamoji_Roegneria_kamoji_GWHFLAD00000000.1/GWHFLAD00000000.1.genome.fasta.gz,https://download.cncb.ac.cn/gwh/Plants/Campeiostachys_kamoji_Roegneria_kamoji_GWHFLAD00000000.1/GWHFLAD00000000.1.gff.gz,
统计条目,Cenchrus americanus,diploid,pearl_millet_aseembly.fa.gz,Cenchrus_americanus\Cenchrus_americanus_GCA_963924085.1_AwK_v01_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2017/9/18,Nature Biotechnology,28922347,2350,1790,38579,884.95,18.18,Illumina,NGS,India,no,SOAPdenovo,NA,ALLMAPS,NA,no,http://dx.doi.org/10.5524/100192,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
补充条目,Cenchrus clandestinus,NA,GCA_051254175.1_ASM5125417v1_genomic.fna.gz,Cenchrus_clandestinus\Cenchrus_clandestinus_GCA_051254175.1_ASM5125417v1_genomic.gtf,ASM5125417v1,Poales,Poaceae,Commelinids,Monocots,no,2025/7/8,NA,GCA_051254175.1,NA,1849.735317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/051/254/Cenchrus_clandestinus_monocots_ASM5125417v1_GCA_051254175.1/GCA_051254175.1_ASM5125417v1_genomic.fna.gz,NA,
统计条目,Cenchrus fungigraminus,tetraploid,GWHBWDX00000000.1.genome.fasta.gz,GWHBWDX00000000.1.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2023/6/3,Plant Communications,10.1016/j.xplc.2023.100633,2070,1990,68526,NA,134075,PacBio;Illumina,HiFi,China,yes,Hifiasm,NextPolish,ALLHIC,ALLHIC,T2T,https://ngdc.cncb.ac.cn/search/?dbId=gwh&q=GWHBWDX00000000.1,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Cenchrus purpureus,NA,GWHAORA00000000.genome.fasta.gz,GWHAORA00000000.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2020/10/11,Molecular Ecology Resources,33040437,1970,1901,65927,150000,1820,Illumina;ONT,Other TGS,China,yes,SMARTdenovo,Pilon,LACHESIS,LACHESIS,no,https://ngdc.cncb.ac.cn/search/?dbId=gwh&q=GWHAORA00000000&page=1,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
补充条目,Chasmanthium latifolium,NA,GWHFGPT00000000.1.genome.fasta.gz,GWHFGPT00000000.1.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/11/2,NA,GWHFGPT00000000.1,NA,1391.3792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/gwh/Plants/Chasmanthium_latifolium_clat_v1.4_GWHFGPT00000000.1/GWHFGPT00000000.1.genome.fasta.gz,https://download.cncb.ac.cn/gwh/Plants/Chasmanthium_latifolium_clat_v1.4_GWHFGPT00000000.1/GWHFGPT00000000.1.gff.gz,
统计条目,Chloris gayana,diploid,GCA_031894775.1_ASM3189477v1_genomic.fna.gz,Chloris_gayana\Chloris_gayana_GCA_031894775.1_ASM3189477v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2023/9/4,Frontiers in Plant Science,10.3389/fpls.2023.1239290,586,603.261687,46087,310.1,310.098,ONT;Illumina,Other TGS,Australia,no,Flye,NA,NA,NA,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_031894775.1/,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
补充条目,Chrysopogon serrulatus,NA,GCA_015844335.1_Cs-A1013-Draft-PanAnd-1.0_genomic.fna.gz,Chrysopogon_serrulatus\Chrysopogon_serrulatus_GCA_015844335.1_Cs-A1013-Draft-PanAnd-1.0_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2020/12/8,NA,GCA_015844335.1,NA,930.5092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/015/844/Chrysopogon_serrulatus_monocots_Cs-A1013-Draft-PanAnd-1.0_GCA_015844335.1/GCA_015844335.1_Cs-A1013-Draft-PanAnd-1.0_genomic.fna.gz,NA,
补充条目,Cleistogenes songorica,NA,GWHANUQ00000000.genome.fasta.gz,GWHANUQ00000000.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2020/11/26,NA,GWHANUQ00000000,NA,540.1157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/gwh/Plants/Cleistogenes_songorica_Cleistogenes_songorica_GWHANUQ00000000/GWHANUQ00000000.genome.fasta.gz,https://download.cncb.ac.cn/gwh/Plants/Cleistogenes_songorica_Cleistogenes_songorica_GWHANUQ00000000/GWHANUQ00000000.gff.gz,
统计条目,Coix aquatica,diploid,GCA_009725075.1_ASM972507v1_genomic.fna.gz,Coix_aquatica\Coix_aquatica_GCA_009725075.1_ASM972507v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2019/11/25,Molecular Plant,31778843,1660,1619,39629,148000,2240,Illumina;PacBio,Other TGS,China,yes,Canu,Pilon,LACHESIS,LACHESIS,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009725075.1/,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Coix lacryma-jobi,tetraploid,GCA_009758035.1_Adlay_draft_genome_1.0_genomic.fna.gz,PRODUCTION_50_result.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2020/5/18,Plant Science,32528499,1560,1280,39574,594,NA,Illumina;PacBio,Other TGS,South Korea,no,Falcon,Quiver,SSPACE,NA,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009758035.1/,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
补充条目,Cymbopogon citratus,NA,GCA_031170775.1_Ccit.v1.0_genomic.fna.gz,Cymbopogon_citratus\Cymbopogon_citratus_GCA_031170775.1_Ccit.v1.0_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2023/9/6,NA,GCA_031170775.1,NA,364.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/031/170/Cymbopogon_citratus_lemon_grass_Ccit.v1.0_GCA_031170775.1/GCA_031170775.1_Ccit.v1.0_genomic.fna.gz,NA,
补充条目,Cymbopogon flexuosus,NA,GCA_027790015.1_ASM2779001v1_genomic.fna.gz,Cymbopogon_flexuosus\Cymbopogon_flexuosus_GCA_027790015.1_ASM2779001v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,no,2023/1/9,NA,GCA_027790015.1,NA,545.4689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/027/790/Cymbopogon_flexuosus_monocots_ASM2779001v1_GCA_027790015.1/GCA_027790015.1_ASM2779001v1_genomic.fna.gz,NA,
补充条目,Cynodon dactylon,NA,GWHDUCR00000000.genome.fasta.gz,GWHDUCR00000000.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/1/6,NA,GWHDUCR00000000,NA,604.0343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/gwh/Plants/Cynodon_dactylon_bermudagrass_A12359_GWHDUCR00000000/GWHDUCR00000000.genome.fasta.gz,https://download.cncb.ac.cn/gwh/Plants/Cynodon_dactylon_bermudagrass_A12359_GWHDUCR00000000/GWHDUCR00000000.gff.gz,
统计条目,Dactylis glomerata,diploid,GCA_007115705.1_ASM711570v1_genomic.fna.gz,Dactylis_glomerata\Dactylis_glomerata_GCA_007115705.1_ASM711570v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2019/7/5,Plant Biotechnology Journal,31276273,1940,1840,40088,252520,930,Illumina;PacBio,Other TGS,China,yes,Falcon,Quiver,FragScaff;HiRise,HiRise,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_007115705.1/,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Dasypyrum villosum,diploid,GWHBJXA00000000.genome.fasta.gz,GWHBJXA00000000.gff.gz,91C43,Poales,Poaceae,Commelinids,Monocots,yes,2022/12/30,Molecular Plant,10.1016/j.molp.2022.12.021,4120,4050,39727,6560,4270,PacBio;BGI,Other TGS,China,yes,SMARTdenovo,Arrow;Pilon,BioNano Access;3D-DNA,3D-DNA,no,https://ngdc.cncb.ac.cn/search/?dbId=&q=GWHBJXA00000000,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Dendrocalamus latiflorus,hexaploid,GCA_017311315.1_mabamboo_1.0_genomic.fna.gz,Dendrocalamus_latiflorus\Dendrocalamus_latiflorus_GCA_017311315.1_mabamboo_1.0_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2022/1/6,Journal of Integrative Plant Biology,10.1111/jipb.13217,1324,1550,135231,4500,2570,PacBio;Illumina,Other TGS,China,yes,Falcon,Quiver;Pilon,FragScaff;ALLHIC,ALLHIC,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_017311315.1/,https:// ngdc. cncb. ac. cn/ gwh/ Assembly/ 68115/ show,
统计条目,Dendrocalamus sinicus,hexaploid,Dendrocalamus_sinicus.faa,Dendrocalamus_sinicus_annos1-cds0-id_typename-nu1-upa1-add_chr0.gid66393.gff,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/15,Nature Genetics,10.1038/s41588-024-01683-0,1400,1439.8,56847,36311.66,4293.77,ONT,ONT,China,yes,CANU;SMARTdenovo;NextDenovo,Racon;Nextpolish;Pilon,LACHESIS,BWA;HiC-Pro;LACHESIS,pan-genome,JAYGGG000000000,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Dichanthelium oligosanthes,diploid,GCA_001633215.2_ASM163321v2_genomic.fna.gz,GCA_001633215.2_ASM163321v2_genomic.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,no,2016/10/28,Genome Biology,27793170,750,589,30153,NA,NA,Illumina,NGS,USA,no,ALLPATHS,NA,SSPACE,NA,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001633215.2/,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Digitaria exilis,tetraploid,GCA_902859565.1_Fonio_CM05836_genomic.fna.gz,Dexi_CM05836-gene.gff3.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2020/9/8,Nature Communications,32901040,893,716.471,57021,10741,83.702,Illumina,NGS,Saudi Arabia,yes,DeNovoMAGIC;Minia,NA,HiRise;Bionano Access;ARKS;LINKS,HiRise,no,https://www.ebi.ac.uk/ena/browser/text-search?query=%20PRJEB50993,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Digitaria milanjiana,tetraploid,GWHGGEZ00000000.1.genome.fasta.gz,GWHGGEZ00000000.1.gff.gz,#DZ2,Poales,Poaceae,Commelinids,Monocots,yes,2026/2/12,Nature Communications,10.1038/s41467-026-69076-x,NA,908.85,NA,NA,NA,PacBio;Illumina,HiFi,China,no,Hifiasm,NextPolish,RagTag,NA,no,https://download.cncb.ac.cn/gwh/Plants/Digitaria_milanjiana_Digitaria_milanjiana_GWHGGEZ00000000.1/GWHGGEZ00000000.1.genome.fasta.gz,https://download.cncb.ac.cn/gwh/Plants/Digitaria_milanjiana_Digitaria_milanjiana_GWHGGEZ00000000.1/GWHGGEZ00000000.1.gff.gz,
统计条目,Digitaria radicosa,diploid,GCA_041430275.1_ASM4143027v1_genomic.fna.gz,Digitaria_radicosa_v1.gff3,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/10/10,G3-Genes Genomes Genetics,10.1093/g3journal/jkae242,420.3,441.6,26577,NA,41500,PacBio;BGI;Illumina,HiFi,Japan,no,Hifiasm,Nextpolish;Merfin,RagTag,NA,no,https://ngdc.cncb.ac.cn/gwh/ncbi_assembly/2874812/show,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Digitaria sanguinalis,allohexaploid,GWHGGEX00000000.1.genome.fasta.gz,GWHGGEX00000000.1.gff.gz,#YJ2023,Poales,Poaceae,Commelinids,Monocots,yes,2026/2/12,Nature Communications,10.1038/s41467-026-69076-x,1240,1250,114996,NA,NA,PacBio;ONT;Illumina,HiFi;ONT ultra long,China,yes,Hifiasm;NextDenovo,NextPolish,YaHS,YaHS,T2T,https://download.cncb.ac.cn/gwh/Plants/Digitaria_sanguinalis_Digitaria_sanguinalis_GWHGGEX00000000.1/GWHGGEX00000000.1.genome.fasta.gz,https://download.cncb.ac.cn/gwh/Plants/Digitaria_sanguinalis_Digitaria_sanguinalis_GWHGGEX00000000.1/GWHGGEX00000000.1.gff.gz,
统计条目,Echinochloa colona,hexaploid,GWHBDNQ00000000.genome.fasta.gz,GWHBDNQ00000000.gff.gz,PI463783,Poales,Poaceae,Commelinids,Monocots,yes,2022/2/3,Nature Communications,10.1038/s41467-022-28359-9,1180,1130,93697,NA,24800,PacBio;Illumina,HiFi,China,yes,Hifiasm,Racon,ALLHIC,ALLHIC,no,https://ngdc.cncb.ac.cn/search/?dbId=&q=PRJCA003883,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
统计条目,Echinochloa crus-galli,hexaploid,GWHBDNR00000000.genome.fasta.gz,GWHBDNR00000000.gff.gz,STB08,Poales,Poaceae,Commelinids,Monocots,yes,2022/2/3,Nature Communications,10.1038/s41467-022-28359-9,1400,1339.8,104780,NA,NA,PacBio;Illumina,Other TGS,China,yes,Canu,Racon;Pilon,ALLHIC,ALLHIC,no,https://ngdc.cncb.ac.cn/search/?dbId=&q=PRJCA003883,https://genomevolution.org/coge/NotebookView.pl?nid=3091,
