group,No.Genome,No.species,来源*,Species,Ploidy,Filename,annotation_file,Accession name,Order,Family,Clade,APG IV,Chromosome-level,Publish year,Publication,PMID/DOI,Estimated genome size (Mb),Assembled genomesize(Mb),Predicted gene number,Scaffold N50 size (Kb),Contig N50 size(Kb),Sequencing platform,Sequencing platform classification,Country/institution,HiC for scaffoldng,Software of contig assembly,Software of polishing,Software of scaffloding,Software of  HiC scaffoldng,T2T/Pan-genome,Genome links,Annotation links,genome_path,annotation_path
原始数据可用,45,30,???????,Arundo donax,NA,GWHERLM00000000.genome.fasta.gz,GWHERLM00000000.gff.gz,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/6/24,NA,GWHERLM00000000,NA,1299.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/gwh/Plants/Arundo_donax_A.donax-V1_GWHERLM00000000/GWHERLM00000000.genome.fasta.gz,https://download.cncb.ac.cn/gwh/Plants/Arundo_donax_A.donaxNAV1_GWHERLM00000000/GWHERLM00000000.gff.gz,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GWHERLM00000000.genome.fasta.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/GWHERLM00000000.gff.gz
原始数据可用,46,31,??????,Avena abyssinica,tetraploid,GCA_051171295.1_ASM5117129v1_genomic.fna.gz,Avena_abyssinica_GCA_051171295.1_ASM5117129v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,6840,92661 ,NA,42060,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051171295.1_ASM5117129v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_abyssinica/Avena_abyssinica_GCA_051171295.1_ASM5117129v1_genomic.gtf
原始数据可用,47,32,??????,Avena agadiriana,tetraploid,GCA_051175325.1_ASM5117532v1_genomic.fna.gz,Avena_agadiriana_GCA_051175325.1_ASM5117532v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,7060,93848 ,NA,166650,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175325.1_ASM5117532v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_agadiriana/Avena_agadiriana_GCA_051175325.1_ASM5117532v1_genomic.gtf
Huada_FTP_update,48,33,??????,Avena atlantica,diploid,GCA_910589765.1_Avena_atlantica_CC7277_v1_assembly_genomic.fna.gz,Avena_atlantica_GCA_910589765.1_Avena_atlantica_CC7277_v1_assembly_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2019/11/22,BMC Biology,31757219,3720,3685,51223,513000,4310.367,Illumina;PacBio,Other TGS,USA,yes,Canu,Arrow;Pilon,HiRise,HiRise,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_atlantica/GCA_910589765.1_Avena_atlantica_CC7277_v1_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_atlantica/Avena_atlantica_GCA_910589765.1_Avena_atlantica_CC7277_v1_assembly_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_atlantica/GCA_910589765.1_Avena_atlantica_CC7277_v1_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_atlantica/Avena_atlantica_GCA_910589765.1_Avena_atlantica_CC7277_v1_assembly_genomic.gtf
Huada_FTP_update,50,34,??????,Avena barbata,allotetraploid,GCA_947310925.1_Abarbata_PI388828_v1.0_genomic.fna.gz,Avena_barbata_GCA_947310925.1_Abarbata_PI388828_v1.0_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/4/14,Journal of Integrative Plant Biology,10.1111/jipb.13902,6960,6882.44,93821,507161.01,53737.25,PacBio;Illumina,HiFi,China,yes,NA,NA,NA,NA,T2T,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_barbata/GCA_947310925.1_Abarbata_PI388828_v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_barbata/Avena_barbata_GCA_947310925.1_Abarbata_PI388828_v1.0_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_barbata/GCA_947310925.1_Abarbata_PI388828_v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_barbata/Avena_barbata_GCA_947310925.1_Abarbata_PI388828_v1.0_genomic.gtf
原始数据可用,51,35,??????,Avena brevis,diploid,GCA_051175485.1_ASM5117548v1_genomic.fna.gz,Avena_brevis_GCA_051175485.1_ASM5117548v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3670,44693 ,NA,121120,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175485.1_ASM5117548v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_brevis/Avena_brevis_GCA_051175485.1_ASM5117548v1_genomic.gtf
原始数据可用,52,36,??????,Avena byzantina,hexaploid,GCA_910574625.1_Avena_byzantina_PI258586_v1_assembly_genomic.fna.gz,Avena_byzantina_GCA_910574625.1_Avena_byzantina_PI258586_v1_assembly_genomic.gtf,PI258586,Poales,Poaceae,Commelinids,Monocots,yes,2025/10/29,Nature,10.1038/s41586-025-09919-7,NA,12799,106122 ,1000,NA,Illumina,NGS,Germany,yes,Minia,NA,SOAPDenovo,EMBOSS,pan-genome,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_910574625.1/,https://genomevolution.org/coge/NotebookView.pl?nid=3091,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_910574625.1_Avena_byzantina_PI258586_v1_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_byzantina/Avena_byzantina_GCA_910574625.1_Avena_byzantina_PI258586_v1_assembly_genomic.gtf
原始数据可用,53,37,??????,Avena canariensis,diploid,GCA_051175435.1_ASM5117543v1_genomic.fna.gz,Avena_canariensis_GCA_051175435.1_ASM5117543v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3610,45916 ,NA,330510,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175435.1_ASM5117543v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_canariensis/Avena_canariensis_GCA_051175435.1_ASM5117543v1_genomic.gtf
原始数据可用,54,38,??????,Avena clauda,diploid,GCA_051175465.1_ASM5117546v1_genomic.fna.gz,Avena_clauda_GCA_051175465.1_ASM5117546v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,4190,42171 ,NA,91540 ,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175465.1_ASM5117546v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_clauda/Avena_clauda_GCA_051175465.1_ASM5117546v1_genomic.gtf
原始数据可用,55,39,??????,Avena damascena,diploid,GCA_051175425.1_ASM5117542v1_genomic.fna.gz,Avena_damascena_GCA_051175425.1_ASM5117542v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3400,43732 ,NA,83770,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://genomevolution.org/coge/NotebookView.pl?nid=3091,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175425.1_ASM5117542v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_damascena/Avena_damascena_GCA_051175425.1_ASM5117542v1_genomic.gtf
Huada_FTP_update,56,40,??????,Avena eriantha,diploid,GCA_910589775.1_Avena_eriantha_BYU132_v1_assembly_genomic.fna.gz,Avena_eriantha_GCA_910589775.1_Avena_eriantha_BYU132_v1_assembly_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2019/11/22,BMC Biology,31757219,4170,3778,47361,534000,1314.218,Illumina;PacBio,Other TGS,USA,yes,Canu,Arrow;Pilon,HiRise,HiRise,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_eriantha/GCA_910589775.1_Avena_eriantha_BYU132_v1_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_eriantha/Avena_eriantha_GCA_910589775.1_Avena_eriantha_BYU132_v1_assembly_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_eriantha/GCA_910589775.1_Avena_eriantha_BYU132_v1_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_eriantha/Avena_eriantha_GCA_910589775.1_Avena_eriantha_BYU132_v1_assembly_genomic.gtf
Huada_FTP_update,58,41,??????,Avena fatua,hexaploid,GCA_051171255.1_ASM5117125v1_genomic.fna.gz,Avena_fatua_GCA_051171255.1_ASM5117125v1_genomic.gtf,W1004,Poales,Poaceae,Commelinids,Monocots,yes,2025/11/7,Nature Communications,10.1038/s41467-025-64825-w,NA,10980,135470,508490,473480,Illumina;PacBio;ONT,HiFi;ONT ultra long,China,yes,Hifiasm,NA,3D-DNA;Juicer,3D-DNA;Juicer,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_fatua/GCA_051171255.1_ASM5117125v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_fatua/Avena_fatua_GCA_947310975.1_Afatua_CN25955_v1.0_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_fatua/GCA_051171255.1_ASM5117125v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_fatua/Avena_fatua_GCA_051171255.1_ASM5117125v1_genomic.gtf
原始数据可用,59,42,??????,Avena hirtula,diploid,GCA_051175525.1_ASM5117552v1_genomic.fna.gz,Avena_hirtula_GCA_051175525.1_ASM5117552v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3610,43905 ,NA,66250,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175525.1_ASM5117552v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_hirtula/Avena_hirtula_GCA_051175525.1_ASM5117552v1_genomic.gtf
原始数据可用,60,43,??????,Avena hispanica,diploid,GCA_051175545.1_ASM5117554v1_genomic.fna.gz,Avena_hispanica_GCA_051175545.1_ASM5117554v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3940,59955,NA,108300,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175545.1_ASM5117554v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_hispanica/Avena_hispanica_GCA_051175545.1_ASM5117554v1_genomic.gtf
Huada_FTP_update,61,44,??????,Avena insularis,tetraploid,GCA_910574615.1_Avena_insularis_BYU209_v1_assembly_genomic.fna.gz,Avena_insularis_GCA_910574615.1_Avena_insularis_BYU209_v1_assembly_genomic.gtf,CN108634,Poales,Poaceae,Commelinids,Monocots,yes,2022/7/18,Nature Genetics,10.1038/s41588-022-01127-7,7300,7519,89995,NA,5637,ONT;Illumina,Other TGS,China,yes,NextDenovo,Racon;Nextpolish,LACHESIS,LACHESIS,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_insularis/GCA_910574615.1_Avena_insularis_BYU209_v1_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_insularis/Avena_insularis_GCA_910574615.1_Avena_insularis_BYU209_v1_assembly_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_insularis/GCA_910574615.1_Avena_insularis_BYU209_v1_assembly_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_insularis/Avena_insularis_GCA_910574615.1_Avena_insularis_BYU209_v1_assembly_genomic.gtf
Huada_FTP_update,62,45,??????,Avena longiglumis,diploid,GCA_030063025.1_ASM3006302v1_genomic.fna.gz,Avena_longiglumis_GCA_030063025.1_ASM3006302v1_genomic.gtf,PI 657387,Poales,Poaceae,Commelinids,Monocots,yes,2023/12/8,BMC Plant Biology,10.1186/s12870-023-04644-7,3965.67,3960.76857,40845,527343.613,12682.464,ONT;Illumina,Other TGS,China,yes,NA,NA,NA,NA,NA,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_longiglumis/GCA_030063025.1_ASM3006302v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_longiglumis/Avena_longiglumis_GCA_030063025.1_ASM3006302v1_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_longiglumis/GCA_030063025.1_ASM3006302v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_longiglumis/Avena_longiglumis_GCA_030063025.1_ASM3006302v1_genomic.gtf
原始数据可用,64,46,???????,Avena magna,NA,GCA_947310255.1_Asativa_cv_Amagalon_v1.0_genomic.fna.gz,Avena_magna_GCA_947310255.1_Asativa_cv_Amagalon_v1.0_genomic.gtf,Asativa_cv_Amagalon_v1.0,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/13,NA,GCA_947310255.1,NA,11436.98707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/947/310/Avena_magna_monocots_Asativa_cv_Amagalon_v1.0_GCA_947310255.1/GCA_947310255.1_Asativa_cv_Amagalon_v1.0_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_947310255.1_Asativa_cv_Amagalon_v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_magna/Avena_magna_GCA_947310255.1_Asativa_cv_Amagalon_v1.0_genomic.gtf
原始数据可用,65,47,??????,Avena maroccana,tetraploid,GCA_051175335.1_ASM5117533v1_genomic.fna.gz,Avena_maroccana_GCA_051175335.1_ASM5117533v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,7740,96131,NA,113310,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175335.1_ASM5117533v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_maroccana/Avena_maroccana_GCA_051175335.1_ASM5117533v1_genomic.gtf
原始数据可用,66,48,??????,Avena murphyi,tetraploid,GCA_051175585.1_ASM5117558v1_genomic.fna.gz,Avena_murphyi_GCA_051175585.1_ASM5117558v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,7830,96971 ,NA,131390,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175585.1_ASM5117558v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_murphyi/Avena_murphyi_GCA_051175585.1_ASM5117558v1_genomic.gtf
原始数据可用,67,49,??????,Avena nuda,diploid,GCA_051175495.1_ASM5117549v1_genomic.fna.gz,Avena_nuda_GCA_051175495.1_ASM5117549v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,3570,47342,NA,201420,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051175495.1_ASM5117549v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_nuda/Avena_nuda_GCA_051175495.1_ASM5117549v1_genomic.gtf
原始数据可用,68,50,??????,Avena occidentalis,hexaploid,GCA_051171225.1_ASM5117122v1_genomic.fna.gz,Avena_occidentalis_GCA_051171225.1_ASM5117122v1_genomic.gtf,W0039,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,10940,132046,NA,12000,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,https://ngdc.cncb.ac.cn/search/all?&q=PRJCA024628 & https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA1200805,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051171225.1_ASM5117122v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_occidentalis/Avena_occidentalis_GCA_051171225.1_ASM5117122v1_genomic.gtf
Huada_FTP_update,70,51,??????,Avena sativa,hexaploid,GCA_951802345.1_Asativa_cv_Williams_v1.0_genomic.fna.gz,Avena_sativa_GCA_951802345.1_Asativa_cv_Williams_v1.0_genomic.gtf,C0191,Poales,Poaceae,Commelinids,Monocots,yes,2025/8/20,Nature Genetics,10.1038/s41588-025-02294-z,NA,10940,131823,NA,429520,PacBio;Illumina,HiFi,China,yes,Hifiasm,NA,Juicer;3D-DNA,Juicer;3D-DNA,pan-genome,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_sativa/GCA_951802345.1_Asativa_cv_Williams_v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_sativa/Avena_sativa_GCA_951802345.1_Asativa_cv_Williams_v1.0_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_sativa/GCA_951802345.1_Asativa_cv_Williams_v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_sativa/Avena_sativa_GCA_951802345.1_Asativa_cv_Williams_v1.0_genomic.gtf
Huada_FTP_update,83,52,??????,Avena sterilis,hexaploid,GCA_947313225.1_Asterilis_TN1_v1.0_genomic.fna.gz,Avena_sterilis_GCA_947313225.1_Asterilis_TN1_v1.0_genomic.gtf,W038,Poales,Poaceae,Commelinids,Monocots,yes,2024/12/3,Nature Plants,10.1038/s41477-024-01866-x,NA,10990,133364,440980,NA,PacBio;Illumina;ONT,HiFi;NGS;ONT ultra long,China,yes,Hifiasm,Racon,NA,3D-DNA;Juicer,T2T,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_sterilis/GCA_947313225.1_Asterilis_TN1_v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_sterilis/Avena_sterilis_GCA_947313225.1_Asterilis_TN1_v1.0_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_sterilis/GCA_947313225.1_Asterilis_TN1_v1.0_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Avena_sterilis/Avena_sterilis_GCA_947313225.1_Asterilis_TN1_v1.0_genomic.gtf
原始数据可用,84,53,???????,Avena vaviloviana,NA,GCA_051171275.1_ASM5117127v1_genomic.fna.gz,Avena_vaviloviana_GCA_051171275.1_ASM5117127v1_genomic.gtf,ASM5117127v1,Poales,Poaceae,Commelinids,Monocots,yes,2025/7/2,NA,GCA_051171275.1,NA,6848.497583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://download.cncb.ac.cn/assembly/ncbi/Plants/GCA/051/171/Avena_vaviloviana_monocots_ASM5117127v1_GCA_051171275.1/GCA_051171275.1_ASM5117127v1_genomic.fna.gz,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_051171275.1_ASM5117127v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Avena_vaviloviana/Avena_vaviloviana_GCA_051171275.1_ASM5117127v1_genomic.gtf
非UTR-缺注释,86,54,统计条目,Bambusa odashimae,NA,phased.genome.fasta,PRODUCTION_49_result.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/9/4,Horticulture Research,10.1093/hr/uhae250,3640,3360,141732,14810,NA,ONT;Illumina,ONT,China,yes,NextDenovo,Nextpolish,NA,LACHESIS,no,/mnt/rice/data/Poaceae_Fan_longjiang/genome/phased.genome.fasta,NA,/mnt/rice/data/Poaceae_Fan_longjiang/genome/phased.genome.fasta,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/PRODUCTION_49_result.gtf
原始数据可用,87,55,??????,Bambusa oldhamii,hexaploid,GCA_052818405.1_ZAAS_BaOldh_V1_genomic.fna.gz,Bambusa_oldhamii_GCA_052818405.1_ZAAS_BaOldh_V1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2025/11/3,BMC Plant Biology,10.1186/s12870-025-07529-z,NA,1446,88140 ,38936,NA,PacBio,HiFi,China,yes,NA,NA,Juicer;3D-DNA,Juicer;3D-DNA,no,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_052818405.1/,https://ngdc.cncb.ac.cn/gwh/Assembly/86206/show,/mnt/rice/data/Poaceae_Fan_longjiang/genome/GCA_052818405.1_ZAAS_BaOldh_V1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/annotation/Plant_gtf/Bambusa_oldhamii/Bambusa_oldhamii_GCA_052818405.1_ZAAS_BaOldh_V1_genomic.gtf
Huada_FTP_update,88,56,??????,Bambusa tulda,hexaploid,GCA_965643865.2_Bambusa_tulda_genome_annotation_genomic.fna.gz,Bambusa_tulda_GCA_965643865.2_Bambusa_tulda_genome_annotation_genomic.gtf,haplotype,Poales,Poaceae,Commelinids,Monocots,no,2026/2/4,Scientific Data,10.1038/s41597-026-06679-5,1170,1370,56890,NA,35690,PacBio;Illumina,HiFi,India,no,PacBio;Illumian,HiFi,NA,Hifiasm,no,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Bambusa_tulda/GCA_965643865.2_Bambusa_tulda_genome_annotation_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Bambusa_tulda/Bambusa_tulda_GCA_965643865.2_Bambusa_tulda_genome_annotation_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Bambusa_tulda/GCA_965643865.2_Bambusa_tulda_genome_annotation_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Bambusa_tulda/Bambusa_tulda_GCA_965643865.2_Bambusa_tulda_genome_annotation_genomic.gtf
Huada_FTP_update,89,57,???????,Beckmannia syzigachne,NA,GCA_040954875.1_ASM4095487v1_genomic.fna.gz,Beckmannia_syzigachne_GCA_040954875.1_ASM4095487v1_genomic.gtf,NA,Poales,Poaceae,Commelinids,Monocots,yes,2024/3/20,NA,GWHERLE00000000,NA,2786.5776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Beckmannia_syzigachne/GCA_040954875.1_ASM4095487v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Beckmannia_syzigachne/Beckmannia_syzigachne_GCA_040954875.1_ASM4095487v1_genomic.gtf,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Beckmannia_syzigachne/GCA_040954875.1_ASM4095487v1_genomic.fna.gz,/mnt/rice/data/Poaceae_Fan_longjiang/huada_update/Beckmannia_syzigachne/Beckmannia_syzigachne_GCA_040954875.1_ASM4095487v1_genomic.gtf
